county,batch,page_type,url,external,notes
Martin,3,elections,https://www.martincountytx.com/m/faq?cat=15#question-65,false,"found via link ""How do I know if I am registered to vote"" score=3 (weak match — review)"
Martin,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Martin,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Martin,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Mason,3,elections,https://www.co.mason.tx.us/page/mason.Elections,false,"found via link ""Elections"" score=20"
Mason,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Mason,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Mason,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Matagorda,3,elections,https://www.matagordatx.gov/page/Elections,false,"found via link ""Elections Office"" score=28"
Matagorda,3,polling,,false,GAP: no county-specific page found (best candidate was an unrelated third-party site)
Matagorda,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Matagorda,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Maverick,3,elections,https://co.maverick.tx.us/elections,false,"found via link ""Elections"" score=20"
Maverick,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Maverick,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Maverick,3,results,,false,GAP: no distinct page found (likely folded into elections page)
McCulloch,3,elections,https://www.co.mcculloch.tx.us/page/mcculloch.ElectionInfo,false,"found via link ""ELECTION INFO"" score=6"
McCulloch,3,polling,"https://www.co.mcculloch.tx.us/page/November%205th,%202024%20General%20Election",false,no standing polling page; using per-election hub page (shared with other types) — review
McCulloch,3,early_voting,"https://www.co.mcculloch.tx.us/page/November%205th,%202024%20General%20Election",false,no standing early_voting page; using per-election hub page (shared with other types) — review
McCulloch,3,results,,false,GAP: no distinct page found (likely folded into elections page)
McLennan,3,elections,https://www.mclennan.gov/337/Elections,false,"found via link ""Elections Read up-to-date information"" score=7"
McLennan,3,polling,https://www.mclennan.gov/383/Vote-CentersPolling-Locations,false,"found via ""Vote Centers/Polling Locations"" score=31"
McLennan,3,early_voting,https://www.mclennan.gov/546/Current-Election-Results,false,no standing early_voting page; using per-election hub page (shared with other types) — review
McLennan,3,results,https://www.mclennan.gov/406/Past-Elections-Results,false,"found via ""Click here to view past election results"" score=21"
McMullen,3,elections,https://mcmullencounty.org/elections/,false,"found via link ""Elections"" score=20"
McMullen,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
McMullen,3,early_voting,,false,GAP: candidate is non-HTML (application/vnd.openxmlfo) — out of scope
McMullen,3,results,,false,GAP: candidate is non-HTML (image/jpeg) — out of scope
Menard,3,elections,https://www.co.menard.tx.us/page/menard.Elections,false,"found via link ""Elections"" score=20"
Menard,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Menard,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Menard,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Midland,3,elections,https://votemidlandtx.gov/,true,"found via link ""Elections"" score=24"
Midland,3,polling,https://votemidlandtx.gov/election-information/current-upcoming-elections/,true,no standing polling page; using per-election hub page (shared with other types) — review
Midland,3,early_voting,https://votemidlandtx.gov/election-information/current-upcoming-elections/,true,no standing early_voting page; using per-election hub page (shared with other types) — review
Midland,3,results,https://votemidlandtx.gov/archived-election-results/,true,"found via ""Election Results"" score=21"
Milam,3,elections,https://www.milamcounty.net/departments/elections_and_voter_registrar/index.php,false,"found via link ""Elections"" score=23"
Milam,3,polling,https://www.milamcounty.net/departments/elections_and_voter_registrar/polling_locations.php,false,"found via ""Polling Locations"" score=21"
Milam,3,early_voting,,false,GAP: candidate unreachable (https://www.milamcounty.net/departments/elections_and_voter_registrar/05.02.2026 DAILY EARLY VOTING ROSTER DAY 6.xlsx?t=202604281808090)
Milam,3,results,https://www.milamcounty.net/departments/elections_and_voter_registrar/election_results.php,false,"found via ""Election Results"" score=21"
