county,fact,fact_label,verdict,matched_text,why,pages_captured
erath,registration_deadline,Registration deadline,Matches expected,"[early_voting] Last day to register to vote for this election: Monday, October 5, 2026","(2026, 10, 5)",4
erath,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,4
falls,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
falls,election_date,Next election date,Matches expected,"[elections] November 3, 2026 General Election","(2026, 11, 3)",2
falls,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
falls,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
fannin,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
fannin,election_date,Next election date,Matches expected,"[elections] General Election November 3, 2026","(2026, 11, 3)",2
fannin,registration_deadline,Registration deadline,Matches expected,"[elections] Last day to Register to Vote – Monday, October 5, 2026","(2026, 10, 5)",2
fannin,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
